course_code,chunk
HROB*4010,"HROB*2010, (1 of PHIL*2120, PHIL*2600, POLS*3440), (2 of BUS*3000, EDRD*3140, EDRD*3160, EDRD*4120, HROB*2090, HROB*2290, HROB*3000, MGMT*2150, MGMT*2190, PHIL*2100, POLS*2250) plus 120 hours of leadership experience"
HROB*4060,"15.00 credits including (1 of BUS*3000, HROB*2100, HROB*2290, HROB*3000, PSYC*3070)"
HUMN*2020,2.00 credits
HUMN*3000,7.50 credits
HUMN*3020,5.00 credits
HUMN*3180,7.50 credits
HUMN*3190,7.50 credits
HUMN*3200,7.50 credits
HUMN*3300,Admission to the Latin America semester
HUMN*3400,5.0 credits
HUMN*3470,5.00 credits
HUMN*3800,10.00 credits
HUMN*4190,10.00 credits
IES*4000,"IES*2010, 12.50 credits"
INDG*2200,2.00 credits
IBIO*3100,12.00 credits
IBIO*4500,12.00 credits
IBIO*4521,12.00 credits
IAEF*3500,5.00 credits
IAEF*3510,9.00 credits
IPS*1500,1 of 4U Physics
IPS*3000,2.00 credits in PHYS at the 2000 level or higher
UNIV*2020,2.00 credits
UNIV*2100,4.00 credits
UNIV*2200,4.50 credits
UNIV*2800,4.00 credits completed
UNIV*2800,minimum 60% cumulative average
UNIV*3000,9.00 credits
UNIV*3800,4.00 credits completed
UNIV*3800,minimum 60% cumulative average
UNIV*4200,13.50 credits
UNIV*4800,4.00 credits completed
UNIV*4800,minimum 60% cumulative average
IDEV*2000,2.00 credits
IDEV*2200,2.00 credits
IDEV*3000,7.50 credits including 1.00 credit in IDEV courses at the 2000 level
IDEV*3200,10.00 credits
IDEV*3300,7.50 credits including 1.00 credit in IDEV courses at the 2000 level
IDEV*3400,7.50 credits including (0.50 credits in IDEV at the 2000 level or ONEH*2000)
IDEV*3500,7.50 credits
IDEV*3600,7.50 credits
IDEV*4000,"14.00 credits including IDEV*2400, IDEV*3000, IDEV*3100, IDEV*3300"
IDEV*4100,"14.00 credits including IDEV*3000, IDEV*3100"
IDEV*4200,14.00 credits
IDEV*4300,14.00 credits including 1.00 IDEV credits at the 3000-level
IDEV*4600,14.00 credits including (1.00 credit in IDEV courses at the 3000 level or ONEH*3000)
IDEV*6850,IDEV*6800 - Recommended prior to taking this course
IDEV*6850,but is not required
ITAL*3700,10.00 credits including 1.50 credits in Italian
ITAL*3800,10.00 credits including 1.50 credits in ITAL
JLS*4000,"14.00 credits, including POLS*3130, POLS*3350"
JLS*4800,"14.00 credits, including POLS*3130, POLS*3350"
JUST*2090,2.00 credits
JUST*2100,2.00 credits
JUST*2200,4.00 credits
JUST*3010,5.00 credits including (AHSS*1110 or PSYC*1110)
JUST*3040,5.00 credits including AHSS*1160
JUST*3050,5.00 credits including JUST*2050
JUST*3060,5.00 credits including JUST*1020
JUST*3120,10.00 credits
JUST*4000,10.00 credits including JUST*2000
JUST*4020,10.00 credits including: AHSS*1140
KIN*1220,5.00 credits
KIN*1430,7.50 credits
KIN*1440,7.50 credits
KIN*1470,4.00 credits
KIN*1480,4.00 credits
LAT*1110,LAT*1100 or Grade 12 Latin
LAT*2000,Grade 12 Latin or LAT*1110
LAT*4100,1 of CLAS*3060
MGMT*1100,4.00 credits
MGMT*3020,9.00 credits
MGMT*3030,12.50 credits
MGMT*3100,8.00 credits
MGMT*3140,"9.00 credits including (1 of MATH*1030, MATH*1080, MATH*1200) (1 of ECON*2740, PSYC*1010, STAT*2040, STAT*2060)"
MGMT*3200,9.00 credits including MGMT*1000 or MGMT*2150
MGMT*3300,4.00 credits
MGMT*3500,9.00 credits including (MGMT*1000 or MGMT*2150)
MGMT*3900,8.00 credits
MGMT*4000,"[1 of ( ECON*2560 or FIN*2000), ECON*3460, ECON*3560]"
MGMT*4000,"(1 of FARE*3310, HTM*3120, REAL*3890)"
