course_code,chunk
DEQN*4190,DEQN*3150
FCSS*2040,(FCSS*2000 or FCSS*2070)
FCSS*2040,FCSS*2020
FRHD*2040,FRHD*2270
FRHD*2040,PSYC*2450
FRHD*2060,FRHD*1010
FRHD*2060,FRHD*1100
FRHD*2060,PSYC*1000
FRHD*2060,PSYC*1100
FRHD*2060,PSYC*1200
FRHD*2060,SOC*1100
FRHD*2270,FRHD*1010
FRHD*2270,FRHD*1100
FRHD*2270,PSYC*1000
FRHD*2270,PSYC*1100
FRHD*2270,PSYC*1200
FRHD*2270,SOC*1100
FRHD*2280,FRHD*1010
FRHD*2280,FRHD*1100
FRHD*2280,PSYC*1000
FRHD*2280,SOC*1100
FRHD*3180,FRHD*2300
FRHD*3180,FRHD*2400
FRHD*3200,FRHD*2040
FRHD*3290,FRHD*2350
FRHD*3290,FRHD*2400
FRHD*3500,FRHD*3070
FRHD*3500,STAT*2090
FRHD*4210,FRHD*3200
FRHD*4290,FRHD*3290
FRAN*6440,FRAN*6000
FRAN*6440,FRAN*6010
FRAN*6730,FRAN*6720
FRAN*6810,FRAN*6800
FRAN*6820,FRAN*6810
FRAN*6830,FRAN*6820
FRAN*6840,FRAN*6830
FIN*2000,ECON*1050
FIN*3000,ECON*2310
FIN*3000,(ECON*2560 or FIN*2000)
FIN*3100,ECON*2560
FIN*3100,FIN*2000
FIN*3200,ECON*2310
FIN*3200,(ECON*2560 or FIN*2000)
FIN*3300,ECON*2310
FIN*3300,ECON*2410
FIN*3300,(ECON*2560 or FIN*2000)
FIN*3400,ECON*2410
FIN*3400,(ECON*2560 or FIN*2000)
FIN*3500,ECON*2410
FIN*3500,(ECON*2560 or FIN*2000)
FIN*3900,ECON*2310
FIN*3900,ECON*2410
FIN*3900,ECON*2770
FIN*3900,FIN*2000
FIN*4000,ECON*3710
FIN*4000,ECON*3740
FIN*4100,ECON*3740
FIN*4200,FIN*3100
FIN*4200,(ECON*3660 or FIN*3000)
FIN*4200,(ECON*3760 or FIN*3200)
FIN*4900,ECON*3740
FIN*4900,FIN*3100
FIN*4900,(ECON*3660 or FIN*3000)
FIN*6200,ECON*6140
FINA*6515,FINA*6510
FINA*6531,FINA*6530
FINA*6545,FINA*6540
FINA*6610,FINA*6515
FINA*6615,FINA*6610
FINA*6640,FINA*6545
FINA*6641,FINA*6640
FOOD*2150,BIOL*1080
FOOD*2150,CHEM*1040
FOOD*2400,CHEM*1040
FOOD*2410,CHEM*1040
FOOD*2420,BIOL*1070
FOOD*2420,MICR*2420
FOOD*2620,(BIOC*2580 or CHEM*2880)
FOOD*3030,BIOC*2580
FOOD*3040,FOOD*3030
FOOD*3050,BIOC*2580
FOOD*3060,FOOD*3030
FOOD*3060,FOOD*3050
FOOD*3090,AGR*1110
FOOD*3140,ENGG*2660
FOOD*3140,"(FOOD*2620, MICR*2420)"
FOOD*3160,ENGG*2660
FOOD*3160,"(FOOD*2620, MICR*2420)"
FOOD*3170,FOOD*3140
FOOD*3170,FOOD*3160
FOOD*3230,MICR*2420
