course_code,requisites
ECS*2010,"ECS*1010, ECS*1030, (AHSS*2040 or ECS*1050) - Must be completed prior to taking this course."
ECS*2030,AHSS*2040 or ECS*1050 - Must be completed prior to taking this course.
ECS*2040,"ECS*1030, ECS*2050, (AHSS*2040 or ECS*1050) - Must be completed prior to taking this course."
ECS*2050,"ECS*1010, ECS*1070, (AHSS*2040 or ECS*1050) - Must be completed prior to taking this course."
ECS*2060,ECS*2050 - Must be completed prior to taking this course.
ECS*2070,ECS*1070 or ECS*2020 - Must be completed prior to taking this course.
ECS*2080,2.00 credits - Must be completed prior to taking this course.
ECS*2110,4.00 credits - Must be completed prior to taking this course.
ECS*3020,ECS*2040 - Must be completed prior to taking this course.
ECS*3030,"ECS*2040, (ECS*2070 orECS* 3010) - Must be completed prior to taking this course."
ECS*3050,10.00 credits - Must be completed prior to taking this course.
ECS*3060,ECS*3030 - Must be completed prior to taking this course.
ECS*3080,10.00 credits - Must be completed prior to taking this course.
ECS*3100,ECS*2070 or ECS*3010 - Must be completed prior to taking this course.
ECS*3110,7.50 credits - Must be completed prior to taking this course.
ECS*3120,10.00 credits - Must be completed prior to taking this course.
ECS*3150,10.00 credits - Must be completed prior to taking this course.
ECS*3170,10.00 credits - Must be completed prior to taking this course.
ECON*2100,ECON*1050 or FARE*1040 - Must be completed prior to taking this course.
ECON*2310,"(ECON*1050 or FARE*1040), (1 of IPS*1500, MATH*1030, MATH*1080, MATH*1200) - Must be completed prior to taking this course."
ECON*2410,"ECON*1100, (1 of IPS*1500, MATH*1030, MATH*1080, MATH*1200) - Must be completed prior to taking this course."
ECON*2740,"ECON*1100, (ECON*1050, or FARE*1040), (1 of MATH*1000, MATH*1030, MATH*1050, MATH*1080, MATH*1200) - Must be completed prior to taking this course."
ECON*2770,"ECON*1100, (ECON*1050, or FARE*1040), (1 of MATH*1030, MATH*1080, MATH*1200) - Must be completed prior to taking this course."
ECON*2900,8.00 credits. - Must be completed prior to taking this course.
